지역,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
전국,90.38247582,89.32893664,88.38607433,88.17857101,87.72351041,87.35871846,87.16880413,86.83240907,86.5778186,86.20035744,85.94878279,85.50503254,85.07726463,84.66777067,84.36927803,84.27145008,84.32857499,84.48308672,84.4710326,84.51609494,84.76403663,84.89500995,84.94887578,84.82729029,84.56484902,84.52217945,84.47161255,84.49048816,84.55281695,84.75823399,84.94084205,84.95969734,85.01697523,84.99469283,85.25216876,85.63201677,86.24971325,86.61277789,86.8129083,87.10677992,87.20521479,87.28165104,87.38725337,87.47051953,87.6095768,87.74187514,87.97832257,88.21534414,88.48278844,88.6710633,88.80101644,88.99020287,89.47073549,90.03084322,90.3423243,90.91879912,91.17512477,91.21827143,91.37406789,91.35372861,91.12097999,90.75354035,90.5093001,90.45284203,90.38754378,90.44796898,90.46422808,90.54976058,90.63465266,90.7520729,91.0558755,91.27914978,91.35565293,91.49869441,91.58952771,91.65525436,91.79309961,91.87279537,91.90458541,92.01298895,92.03544958,91.98894821,92.00149931,92.04613709,92.14854838,92.2173978,92.36440425,92.53929848,92.96315163,93.6236853,93.58180776,93.77896029,94.00134713,94.21565438,94.54812928,94.79756639,94.95817833,95.10732636,95.28282513,95.26457162,95.36303585,95.29504877,95.35213387,95.33056801,95.30957981,95.29627203,95.29666892,95.27379807,95.24886825,95.22091488,95.1694443,95.16370822,95.20561913,95.29989395,95.3761032,95.40695979,95.39732692,95.32347646,95.331617,95.37784868,95.41235605,95.44814431,95.45428542,95.43772292,95.48732952,95.51576978,95.54337093,95.54632341,95.52642779,95.55261839,95.60761912,95.65705268,95.67186865,95.71291639,95.75415735,95.78861607,95.87245008,95.89804306,95.97587408,96.07196659,96.23852279,96.3640806,96.51327891,96.63817764,96.786745,96.85756505,96.93614832,96.95742342,97.01653677,97.08032444,97.13297808,97.17336886,97.21428309,97.27513257,97.32610063,97.3951286,97.46412811,97.59523059,97.64048943,97.71452563,97.82586511,98.02809899,98.29334859,98.5353922,98.79704399,99.1333155,99.44587292,99.73314866,100,100.1973263,100.37524,100.5855474,100.7920583,101.0358339,101.3029505,101.5706236,101.8058165,102.1054554,102.5396875,102.9483345,103.4941558,103.9338225,104.1316275,104.3504446,104.5504424,104.8032457,105.0646621,105.3215097,105.5803781,105.80969
수도권,72.31290083,71.76261641,71.46758602,71.58772511,71.84093077,71.98883255,71.91211618,71.79533663,71.52280631,71.18589603,71.04175071,70.77715518,70.45485704,70.13547283,69.97241795,70.06538878,70.14903881,70.30449813,70.34750237,70.56181504,70.98876729,71.36287238,71.65745437,71.75064685,71.80785123,72.084269,72.3480622,72.50294407,72.91330923,73.51325228,74.12243499,74.62773664,75.04788341,75.2976999,75.85121709,76.88297997,78.90596112,80.25270145,81.16266816,81.76360159,82.13420464,82.49038191,82.83092533,83.17851863,83.61165246,83.88729416,84.56682952,85.15274507,86.07972119,86.53232473,87.01729053,87.56249895,88.76043096,90.08984139,91.03507295,92.42258865,93.31781776,93.74438333,94.09224825,94.24901907,93.97461611,93.45281915,93.16293572,93.14093474,93.19839144,93.42055664,93.59369236,93.82861568,94.1832806,94.66788353,95.28762595,95.79697092,95.9210972,95.88005544,96.05089452,96.17376301,96.30885298,96.46178671,96.44975047,96.49371472,96.36788518,96.18212086,96.13706549,96.11368806,96.26129572,96.29516332,96.40679192,96.53333782,97.00373671,97.24579317,97.33459909,97.37875797,97.47853038,97.57125022,97.67612876,97.68874625,97.74404368,97.74693808,97.87065338,97.86004828,97.78532831,97.40755952,97.34045639,97.25067023,97.10718706,96.99960697,96.8304541,96.70317644,96.59233549,96.36779888,96.26031376,96.16070361,96.1598238,96.31390586,96.4038493,96.39037922,96.30841146,96.16214801,96.10760014,96.12605468,96.14443247,96.15920864,96.16824547,96.25403368,96.30444447,96.31688636,96.31157987,96.29620323,96.26265421,96.27118863,96.30774145,96.35936328,96.37581927,96.39892307,96.417729,96.45478987,96.54961506,96.61130455,96.68356863,96.82369683,96.898814,96.98580133,97.07716207,97.19479006,97.32788701,97.34726966,97.36147161,97.36934761,97.37033898,97.40180038,97.46214947,97.52875865,97.59461742,97.65039326,97.7043523,97.76213028,97.83363286,97.89536569,97.91065509,97.96070215,98.06148767,98.22633029,98.40036029,98.62623152,98.89998861,99.22337872,99.48952728,99.71915259,100,100.2903895,100.5098431,100.7827263,101.0368232,101.3009843,101.6133243,101.9528151,102.2844956,102.7037987,103.3166843,103.8786147,104.5930297,105.2282023,105.4972116,105.7728343,106.0245073,106.3181149,106.638653,106.9834931,107.3588919,107.7673563
지방권,97.3530759,96.08754909,94.86820899,94.5186502,93.75889742,93.17584236,92.93894494,92.51125952,92.26662999,91.87513782,91.57969937,91.06308409,90.5939046,90.14941797,89.79561353,89.61726934,89.66263529,89.81547023,89.78012114,89.75306491,89.92346773,89.95123392,89.90398536,89.69373144,89.30040117,89.12633664,88.94709815,88.9102976,88.83073464,88.87579836,88.88665867,88.71217434,88.62617243,88.49729931,88.6384835,88.76525813,88.84844764,88.84551223,88.78548589,88.96761542,88.96764928,88.94343347,88.96484013,88.95379474,88.98838882,89.06992832,89.15030861,89.2652269,89.30376307,89.40096143,89.40919586,89.476991,89.71493701,90.01782721,90.11959378,90.43048703,90.47973766,90.39951336,90.49374448,90.41679847,90.19738196,89.87933681,89.64973506,89.58225269,89.47771068,89.48651486,89.45282356,89.49087792,89.49029417,89.49188413,89.69641065,89.83016123,89.89177577,90.09223806,90.15803216,90.20589007,90.34453667,90.4013478,90.44679553,90.57527099,90.64408839,90.64123379,90.6718524,90.73783129,90.82601406,90.90582641,91.06390121,91.25394218,91.66302291,92.45536065,92.37218751,92.61765834,92.87883603,93.13168368,93.5365067,93.86149846,94.05578812,94.2517998,94.45133003,94.43063115,94.58454317,94.61607114,94.71316991,94.71361271,94.73219449,94.74938495,94.80473368,94.81576376,94.81876519,94.85394463,94.82049336,94.84498833,94.90069376,94.97569411,95.04748087,95.09262118,95.10631447,95.05583641,95.08423172,95.13944546,95.17917044,95.22175713,95.22696164,95.17730954,95.22665805,95.26026832,95.29850641,95.30738519,95.29190423,95.32380692,95.38477847,95.43350586,95.44779174,95.49464794,95.54309394,95.57671769,95.65702389,95.67102943,95.75064878,95.83261298,96.02828544,96.16613629,96.33378082,96.46099995,96.61450491,96.70174767,96.80090262,96.82646143,96.90416536,96.97829942,97.02849024,97.06049083,97.09342528,97.15589818,97.20591816,97.27851154,97.34671746,97.49981736,97.5545861,97.63623727,97.75092762,97.96503741,98.25928497,98.50647334,98.76427398,99.10464346,99.43197105,99.73760745,100,100.1680266,100.3328734,100.5235104,100.7150732,100.9524477,101.2053702,101.4505193,101.6554833,101.917683,102.2961235,102.6569986,103.1503759,103.5293628,103.7053031,103.9066853,104.0908323,104.3311184,104.574416,104.8043298,105.0275774,105.2022354
6대광역시,88.87396885,87.75113077,86.69562869,86.51586266,86.34460702,85.96012694,85.65503412,84.99523081,84.70536553,84.30788077,84.16738724,83.9373266,83.43216973,83.16362022,82.90781548,82.73298971,82.8106141,83.1426881,83.48067346,83.56665335,83.84909876,83.9918966,84.06059631,83.78888633,83.75538763,83.78071399,83.82502377,83.81784164,84.25207256,84.75152936,84.99800551,85.14343714,85.24703788,85.25306849,85.49705958,85.7863691,85.98897157,86.13541605,86.38608616,86.47195817,86.58398574,86.64635058,86.95938688,86.96239788,87.15686751,87.1762326,87.29966643,87.57113384,87.99144231,88.19296804,88.33193338,88.55374223,88.69656356,88.98467037,89.29274711,89.51260226,89.83244122,90.10205524,90.20931265,90.17308322,89.97239123,89.69365781,89.55762725,89.53395206,89.42586141,89.41069244,89.41442138,89.47922139,89.56045268,89.70145559,89.90240095,90.29417445,90.29932888,90.42153798,90.54924106,90.6378131,90.63567108,90.784417,90.9306681,90.91969077,90.94576618,90.94820337,91.0032301,91.19859749,91.33618857,91.42256271,91.54522206,91.77624716,92.15516287,92.61733174,92.35567777,92.74320883,93.00192263,93.14862566,93.48389166,93.8199592,94.04858258,94.17837269,94.25190654,94.23101094,94.29130554,94.29997039,94.30840489,94.30487328,94.30226942,94.33860793,94.31052662,94.31959767,94.29943586,94.16336453,94.10292736,94.06736094,94.06738638,94.11694072,94.10581464,94.08431122,94.0767757,93.97434005,93.93064073,93.97671238,93.97706586,93.97904685,93.96174499,93.95323803,93.9576392,94.00042515,94.02163469,93.99833108,93.98552896,94.026853,94.08623584,94.18157333,94.20319649,94.29524315,94.29530132,94.34086155,94.43875366,94.47814242,94.58700552,94.71677921,95.01523934,95.2906701,95.59273882,95.81834874,96.04106883,96.06219901,96.09243644,96.13292345,96.23102607,96.31367686,96.40412897,96.4809387,96.53908971,96.64721141,96.73513307,96.82321647,96.92535686,97.12479637,97.18110947,97.28555844,97.42935469,97.64240018,97.96280252,98.2691279,98.5771314,98.98208685,99.34029994,99.70128876,100,100.276903,100.5056404,100.7208562,100.9885815,101.286545,101.5983168,101.944137,102.268989,102.6331698,103.1848247,103.7416934,104.4495521,105.0550343,105.374673,105.6740793,105.9712171,106.3211269,106.6604668,107.0158694,107.3682463,107.7264072
5대광역시,90.46648567,89.32811642,88.1823194,87.98663835,87.82419989,87.37752488,87.01650787,86.36604782,86.08595281,85.65560315,85.49700034,85.23994793,84.71384407,84.4394296,84.17345243,83.96247435,84.02858244,84.43065851,84.82718981,84.98006142,85.3198865,85.31517634,85.38009895,85.11601737,85.07142995,85.08778206,85.07101892,85.06730466,85.54318099,86.09575967,86.32707978,86.49865532,86.60402876,86.58367428,86.84378079,87.14128719,87.33262676,87.41626501,87.60883091,87.61686767,87.70459273,87.73063125,87.82548397,87.79526075,87.88622269,87.87941219,87.89102439,88.06527159,88.34280923,88.44627737,88.46643515,88.69973347,88.74405735,88.90028271,88.96320268,89.0763545,89.06736763,89.12822054,89.05804705,89.01333481,88.77681526,88.48643381,88.34634306,88.32521116,88.21296295,88.18094258,88.16842271,88.23032548,88.31516855,88.41057669,88.54694036,88.73450919,88.73801056,88.89278628,89.01079703,89.07806869,89.06207378,89.24114677,89.40595891,89.36589585,89.39475642,89.42771627,89.49525558,89.71731819,89.86343266,89.96229788,90.10184952,90.33449032,90.7009462,91.23124426,90.91711439,91.37319173,91.65833204,91.82459991,92.20685551,92.59906471,92.88614726,93.03891784,93.12978235,93.10788735,93.19908914,93.21130331,93.22506096,93.24002651,93.27343413,93.32182875,93.31993503,93.32610984,93.31419442,93.27212377,93.26230824,93.26941427,93.33210121,93.37349554,93.37975272,93.38002258,93.36071999,93.25087648,93.21220257,93.28682317,93.2828708,93.29452693,93.3049663,93.28317681,93.29992537,93.35890197,93.38261532,93.3591617,93.35390021,93.41533744,93.48827997,93.58537349,93.61154889,93.71848825,93.74095079,93.79490779,93.89152159,93.92446748,94.04457169,94.18033007,94.51351443,94.82300158,95.17084863,95.43501797,95.68445339,95.7120138,95.74898937,95.80022904,95.91905564,96.0122379,96.11240035,96.19896801,96.26814559,96.39153865,96.48574881,96.59544297,96.71487121,96.94248458,97.0220898,97.14227779,97.28340653,97.51227778,97.86767362,98.20504871,98.52991482,98.94648277,99.32443003,99.68591042,100,100.2955802,100.5415041,100.7588588,101.0434893,101.3736994,101.7045266,102.0781499,102.4222061,102.8067745,103.3893477,103.9493962,104.665329,105.2804376,105.6201073,105.9268599,106.2348504,106.5931032,106.9329884,107.3042276,107.6622487,108.0123027
9개도,95.66007786,94.46983709,93.33798244,93.01642535,92.3056875,91.83600678,91.64136781,91.29893205,91.00822621,90.61492399,90.29354771,89.72050311,89.26974398,88.80094746,88.45557498,88.33567526,88.37363971,88.47574175,88.33097094,88.31699726,88.52154044,88.63121714,88.58587941,88.45415388,88.04999287,87.95338835,87.81855349,87.80423788,87.6766709,87.69754973,87.79096916,87.68340625,87.66231724,87.57917687,87.7798625,88.06260326,88.56981013,88.79501625,88.83704391,89.12166282,89.1102946,89.12381505,89.13811468,89.16288497,89.20939608,89.35063625,89.49419052,89.64389542,89.72039809,89.86282006,89.88375999,89.99389328,90.41031681,90.86836277,91.03845196,91.51446531,91.67130726,91.59020451,91.72809646,91.65494229,91.41190263,91.02548921,90.75018429,90.66548302,90.57600041,90.61198279,90.62635968,90.68435543,90.72033695,90.78848238,91.04878442,91.17854577,91.27286271,91.43101162,91.47771759,91.52541571,91.70348709,91.763733,91.7636127,91.92736332,91.95822342,91.90456758,91.91834586,91.93137242,92.03103579,92.09508876,92.24147776,92.40205713,92.84916413,93.62659237,93.60684067,93.75922774,93.99016186,94.22676351,94.58199563,94.83022225,94.98080946,95.15584797,95.39920703,95.38139758,95.53656534,95.56372215,95.65946431,95.63898007,95.62628849,95.63114557,95.66269801,95.64848116,95.63430539,95.65736735,95.61216961,95.62682894,95.65955215,95.74616272,95.8236625,95.87229532,95.8719663,95.82001034,95.84238023,95.89227771,95.93238368,95.97125395,95.97105717,95.93616202,96.00086907,96.0092004,96.04074037,96.05139771,96.02764751,96.05011259,96.10502388,96.13614454,96.15009019,96.17861754,96.23134232,96.26170085,96.33732452,96.35781975,96.4216608,96.49440577,96.63295441,96.72046452,96.83406247,96.92606853,97.05089711,97.12953878,97.22596506,97.24272927,97.29324141,97.35499937,97.39626088,97.42071406,97.44918005,97.49470318,97.52812876,97.58851286,97.6393129,97.759763,97.80150529,97.86862261,97.97032562,98.16810778,98.42340219,98.647285,98.88169637,99.18837936,99.48311619,99.75336757,100,100.1487436,100.2981724,100.4782496,100.6482742,100.864097,101.1066409,101.3330268,101.5199194,101.7714412,102.1343539,102.4642667,102.9230423,103.2760267,103.422836,103.6096789,103.7792809,104.0072576,104.2462722,104.4701701,104.6906982,104.8613486
8개도,99.38479669,98.08109963,96.84028312,96.44311889,95.49869005,94.87406679,94.67578854,94.31764385,94.0843105,93.70535074,93.36769754,92.77113616,92.32008809,91.82339667,91.442795,91.27472032,91.31362668,91.38941263,91.22153909,91.13953397,91.25818641,91.29581639,91.21448279,91.02074844,90.5218604,90.29034532,90.06222452,90.01548312,89.76945212,89.66356018,89.60920769,89.33285304,89.19073114,89.03012907,89.13651524,89.21346485,89.2651585,89.2370662,89.10383583,89.33635399,89.31096799,89.27220528,89.27235682,89.26686058,89.28514847,89.39221821,89.49248822,89.59019967,89.55967793,89.65504509,89.65983952,89.67995842,89.97361683,90.31877944,90.43175156,90.79982887,90.8659618,90.74485496,90.88673632,90.80045435,90.58605925,90.26006846,90.00456753,89.92367336,89.82138993,89.842021,89.80220286,89.83333862,89.80802642,89.78249371,90.00667154,90.12483282,90.20323043,90.41685875,90.46753293,90.50976663,90.6931278,90.71453778,90.72548647,90.90264274,90.98300864,90.96978781,90.98971727,91.01058629,91.08203697,91.1563375,91.31971501,91.49743233,91.91870208,92.78652945,92.77031023,92.9546754,93.20885444,93.48670041,93.89795784,94.20340457,94.37080858,94.57927351,94.83244105,94.81207604,94.9836283,95.02059044,95.14115024,95.13750461,95.15191523,95.16032728,95.23179074,95.24418883,95.25139081,95.3083903,95.26757995,95.2951721,95.34753308,95.43062351,95.51944594,95.57382762,95.59479317,95.56056697,95.60882124,95.66004299,95.71165887,95.76248343,95.76538218,95.70709591,95.76622948,95.79213876,95.83445251,95.85159429,95.83251201,95.85625044,95.91304549,95.94692641,95.95786015,95.98723589,96.04279082,96.07120615,96.14728391,96.15584059,96.22399506,96.29069453,96.44931841,96.54059866,96.6595607,96.75008816,96.87790171,96.98064738,97.0968606,97.11462671,97.18130633,97.25035725,97.28713536,97.30424076,97.32724521,97.37287035,97.41026164,97.47242805,97.52560352,97.65834266,97.70534356,97.77602298,97.88254854,98.09262796,98.3703383,98.5917234,98.82980363,99.14919017,99.46181953,99.75176671,100,100.1328495,100.2745677,100.4563081,100.6228362,100.8353438,101.0684292,101.2798198,101.4470225,101.6760825,102.0005167,102.3056531,102.7388764,103.0584424,103.1917783,103.365334,103.5171796,103.728818,103.9489545,104.1439528,104.329895,104.4587498
서울,64.59200039,64.27892959,64.36260244,64.63620401,64.97548355,65.12926936,65.12347027,65.26556427,65.23547607,64.97344103,64.90272687,64.78381223,64.58504328,64.27432173,64.14714795,64.26160939,64.37817535,64.52886327,64.66101576,64.92690592,65.3244824,65.53592585,66.0411991,66.18126111,66.2908297,66.41573228,66.64370385,66.86101415,67.33053066,68.03035159,68.56419814,69.0391827,69.42666811,69.67468264,70.2380063,71.24556071,73.05025086,74.47403908,75.45234583,76.11622948,76.79831885,77.24590232,77.53342796,78.07130798,78.6440826,78.90518581,79.8522703,80.53486882,81.66176535,82.09638401,82.8543504,83.45876534,84.88989435,86.53352792,87.72146709,89.549759,90.32139949,90.75107022,91.10752081,91.45378792,91.2298174,90.82554039,90.58725473,90.65364882,90.82087631,91.17518084,91.22620755,91.52762135,91.93719991,92.33336435,93.10994292,93.64051519,93.73016651,93.81152774,94.12614716,94.26915171,94.3980589,94.4793127,94.51189992,94.47332707,94.43362531,94.34461292,94.27119255,94.2484781,94.30463207,94.37302439,94.56839579,94.73499207,95.08714227,95.34074684,95.55489366,95.69787685,95.79773822,95.98887977,96.16697683,96.26669767,96.36927613,96.38453444,96.4538459,96.43750902,96.20510174,95.31662043,95.19409578,95.13064633,95.01645544,94.78167312,94.61792089,94.47428943,94.36533563,94.17859111,94.09426312,93.98836091,94.1673725,94.39544938,94.62313461,94.60722184,94.51426758,94.33569506,94.34741041,94.3759742,94.43391418,94.50993954,94.60173525,94.6974216,94.73000761,94.87117974,94.88244898,94.8758819,94.86536601,94.8894817,94.93150444,95.01585654,95.02364708,95.05179622,95.08812877,95.13386731,95.25330645,95.2888647,95.40822199,95.61105243,95.72845598,95.84473319,95.96087652,96.13845296,96.32194115,96.42741985,96.46661669,96.47846697,96.52537458,96.56701392,96.63206988,96.7211105,96.8223263,96.90355505,97.01327193,97.10840702,97.24569968,97.31702189,97.35946925,97.42120193,97.5354293,97.74983925,97.97827613,98.22103821,98.59311589,99.02039461,99.37307665,99.63918261,100,100.4245803,100.7208567,101.16289,101.5423481,101.9021287,102.285473,102.7346135,103.1782636,103.7410941,104.5268053,105.2645521,106.1940476,107.0378925,107.4175245,107.7380436,107.9901665,108.2609243,108.5617519,108.9038701,109.2781428,109.7431437
서울 강북지역,64.67242285,64.28856652,64.44066599,64.65977123,64.84614519,64.95482918,64.85388962,65.10125653,65.03581626,64.72338001,64.69254707,64.60345502,64.40238635,64.08651772,63.92617677,64.07906591,64.23117481,64.41357635,64.61040157,64.84639538,65.16287078,65.47276065,66.01891887,66.18440802,66.3341086,66.38300234,66.67187775,66.773715,67.35224369,68.16390556,68.39491452,68.75260416,69.14690036,69.44904555,69.92175299,70.687691,72.11688148,73.57235254,74.71837084,75.61903027,76.30456448,76.80416503,77.10668281,77.75635728,78.22528017,78.437169,79.48529313,80.07354791,81.49424167,82.05501124,83.09578703,83.67620662,85.17912352,86.63003873,88.06163659,90.24645722,90.93539913,91.20792528,91.44542317,91.86433104,91.62100933,91.21742657,91.04049188,91.08218021,91.36883767,91.96892567,92.02069607,92.23793525,92.72638069,93.1884548,93.9196351,94.56032809,94.61703799,94.72439297,95.12422533,95.26470311,95.39443246,95.38889506,95.37732191,95.37688262,95.36541426,95.28129778,95.17086897,95.1449121,95.18445281,95.24125649,95.29804907,95.38856349,95.71465112,95.73643742,95.79983733,95.94543174,96.07310251,96.24749508,96.28949728,96.358156,96.40613705,96.34604926,96.40442088,96.40442088,96.04464053,95.58677821,95.43405924,95.39743311,95.46881192,95.27421191,95.10432643,94.93011899,94.82642637,94.73269408,94.62382605,94.51097475,94.89684417,95.01462697,95.16911979,95.10534926,94.95023563,94.71135108,94.62844299,94.54984619,94.55790027,94.59941771,94.69851039,94.80007702,94.81048424,94.97454704,95.01530309,95.05324633,95.04294331,95.0610256,95.08717132,95.12665685,95.13852584,95.16944725,95.17026789,95.20198017,95.31277996,95.29616225,95.35839123,95.60522688,95.72299376,95.86177479,95.95969232,96.16319913,96.31467251,96.42155181,96.46644882,96.48317356,96.53848624,96.58567514,96.65007865,96.74299768,96.83685724,96.91366418,97.02284628,97.12912015,97.27415316,97.34686214,97.39118558,97.46122306,97.57763943,97.79704804,98.00461815,98.24246109,98.59942935,98.9788054,99.37504591,99.65094512,100,100.4874007,100.7850082,101.2422115,101.6977696,102.0846227,102.5027005,102.9430779,103.3669137,103.9557525,104.6408127,105.3266145,106.3288395,107.2527155,107.6414451,108.0206141,108.3034706,108.5687657,108.9002095,109.2342626,109.57131,110.0332411
서울 강북지역 도심권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.95995338,94.95995338,94.83965696,94.83965696,94.77929432,94.78823062,94.6864114,94.26186809,94.29339098,94.23053824,94.16157524,94.15004449,94.15004449,94.15004449,94.10038007,94.18505231,94.12473275,93.86065723,93.83686062,93.79595212,93.78324784,93.85639363,93.82977142,93.82977142,93.82313998,94.10847501,94.10847501,94.09745273,94.13670026,94.22725181,94.24260594,94.24142429,94.33142321,94.36915138,94.41693131,94.40349095,94.46861289,94.48370502,94.64746353,94.69599906,94.82571097,95.01163882,95.36332346,95.47819039,95.65062018,95.73436542,95.90392809,95.93359512,96.01097509,96.03599834,96.06080926,96.08789324,96.1486217,96.31328035,96.50685906,96.6694532,96.92335088,96.99082753,97.0869446,97.23321336,97.31471263,97.44224143,97.65150558,97.88108294,98.1041629,98.4333163,98.80203387,99.1323185,99.42884077,99.7142247,100,100.6128872,100.9308195,101.555246,101.9578387,102.3218299,102.7470481,103.2585749,103.8327354,104.6452206,105.7480271,106.8670651,108.1181583,109.2605359,109.7162251,109.9505057,110.1568487,110.40864,110.7204663,111.1054434,111.4142436,111.7796405
서울 강북지역 동북권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.55363409,96.55363409,96.01368814,95.269127,95.03603991,94.99436417,95.17398629,94.98917585,94.95560626,95.0160654,94.87344433,94.65834083,94.48218323,94.3277964,94.93885509,95.07542466,95.32472762,95.31987296,95.09907074,94.7422767,94.59012442,94.46358826,94.50996226,94.54799159,94.67832466,94.78740219,94.79400819,95.05790878,95.11819119,95.18466589,95.19210822,95.1987934,95.21251343,95.24347883,95.24612648,95.29414315,95.27941747,95.32301978,95.43644051,95.34928817,95.38518965,95.62518502,95.69689076,95.86871474,95.9507633,96.22355256,96.38448453,96.53345917,96.57115487,96.59072859,96.64317912,96.69701356,96.75903712,96.8357424,96.90633607,96.97157893,97.04373711,97.15589375,97.3169992,97.3435513,97.36509149,97.4246571,97.50777291,97.72235466,97.91235209,98.12522031,98.49379849,98.88857228,99.35328789,99.68055233,100,100.4848551,100.7648663,101.0447905,101.4062054,101.7566496,102.1262852,102.5412581,102.9354065,103.3870982,103.9940303,104.5628753,105.6204044,106.5865355,107.0261148,107.4752787,107.8007212,108.1364715,108.4473285,108.7905076,109.1342821,109.6398323
서울 강북지역 서북권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.96749218,96.96749218,96.92366074,96.92366074,96.92366074,96.87089432,96.76824172,96.69690148,96.03745032,95.17838621,95.15374867,95.33166312,95.33166312,95.25572118,95.3253964,95.41483354,95.45847947,95.37089937,95.3038913,95.249222,95.30582558,95.25497041,95.18285966,95.26155977,95.34722513,95.30567807,95.33326589,95.34589413,95.33525983,95.26163313,95.18672442,95.24815061,95.26504966,95.32853047,95.34119671,95.35586169,95.35586169,95.36630834,95.4343896,95.56655068,95.65541336,95.96193956,96.04692221,96.10984848,96.20074824,96.29340144,96.40605496,96.44885044,96.49143333,96.4945163,96.57879577,96.62132853,96.69489148,96.78356773,96.87363246,96.92370444,97.03446343,97.15164383,97.28615275,97.43645212,97.51852182,97.57735693,97.72183398,97.94764097,98.19371343,98.43740357,98.75339378,99.12407179,99.39817893,99.52328061,100,100.4034394,100.7365046,101.5796073,102.344563,102.8531211,103.405891,103.8676107,104.2673382,105.0900661,105.6972144,106.4080217,107.0698077,107.7142664,107.8993089,108.1782039,108.3914199,108.4562124,108.8639823,109.132187,109.4704723,109.8751827
